Sample_ID,Compound_1_Name,Compound_2_Name,Compound_3_Name,Compound_1_SMILES,Compound_2_SMILES,Compound_3_SMILES,Compound_1_WT%,Compound_2_WT%,Compound_3_WT%,Temperature_C,Humidity_pct,Pressure_atm,StirringSpeed_rpm,ReactionTime_h,Target_Property
SAMPLE_001,Compound_A_1,Compound_B_1,Compound_C_1,c1ccccc1C,c1ccccc1C,c1ccccc1,48.5921554107186,21.441767725911014,27.10055581046236,26.09654081285859,43.992984692988074,1.0330436777275938,247,14.576783677840577,83.18141627294034
SAMPLE_002,Compound_A_2,Compound_B_2,Compound_C_2,CCN,CCO,CC(=O)O,29.92250914011541,48.474371947741574,47.23081119045639,54.92742266328996,50.575611856695616,1.0872231653022528,217,7.165463738926154,198.15020119949705
SAMPLE_003,Compound_A_3,Compound_B_3,Compound_C_3,CC(=O)O,c1ccccc1C,CCO,36.5829490050647,46.60041161894142,37.75666216463853,22.88401646393921,58.43819648583337,1.297786219532261,441,15.355424880530082,191.608900952992
SAMPLE_004,Compound_A_4,Compound_B_4,Compound_C_4,CCN,c1ccccc1,CCO,37.16877407512515,27.82680870025142,30.506547401009406,84.76147426396608,51.306258196758286,0.5999286685862255,162,10.41646800039853,55.914021705275886
SAMPLE_005,Compound_A_5,Compound_B_5,Compound_C_5,CCN,CCO,c1ccccc1C,49.40994751148137,20.45913620871154,41.245435867496,81.90739058257185,68.92937041749457,0.8435380863871945,288,13.697085159595545,155.83627587735327
SAMPLE_006,Compound_A_6,Compound_B_6,Compound_C_6,c1ccccc1,CCN,CC(=O)O,22.260387680183847,48.00308924238449,34.45000963892346,128.07829370812516,58.77492610525501,1.3142739659201133,459,11.030910170112284,188.7872476123499
SAMPLE_007,Compound_A_7,Compound_B_7,Compound_C_7,CC(=O)O,CC(=O)O,CCN,29.170910578615455,35.03119651745777,31.339627703667635,60.011041170236425,65.05196908285015,1.147292214704664,148,7.772712469464106,77.08630176910003
SAMPLE_008,Compound_A_8,Compound_B_8,Compound_C_8,CC(=O)O,c1ccccc1C,CC(=O)O,25.72733093451038,36.18132345200188,41.15253092889979,126.1301455776981,74.20934852369477,0.9992236788687264,426,22.814426060129605,135.1917845828944
SAMPLE_009,Compound_A_9,Compound_B_9,Compound_C_9,CC(=O)O,CC(=O)O,c1ccccc1C,28.054245706704705,40.518913081944234,27.461724632908638,145.836589507177,63.46453595702624,1.5958237052139521,356,18.5629332656745,187.3232446382063
SAMPLE_010,Compound_A_10,Compound_B_10,Compound_C_10,CCN,CC(=O)O,c1ccccc1C,34.55839622828947,38.47553493169741,29.907575870572956,31.493069037534056,65.19212607964555,1.5405764111050075,323,4.222603042628409,55.09189678786983
SAMPLE_011,Compound_A_11,Compound_B_11,Compound_C_11,c1ccccc1C,CCO,CC(=O)O,31.180606012821478,48.31674813682271,33.03355533464814,122.93631913105227,63.86751255135847,0.7500961399900747,240,20.974763445651995,154.61304008702598
SAMPLE_012,Compound_A_12,Compound_B_12,Compound_C_12,CC(=O)O,CC(=O)O,c1ccccc1C,31.84074400428417,48.327547913755026,27.610465216194164,96.69426662789269,52.726357557077364,1.8179436730601575,314,12.210917559738814,94.6023511058826
SAMPLE_013,Compound_A_13,Compound_B_13,Compound_C_13,CCN,CCN,CC(=O)O,45.32639422178934,46.01596800665011,32.156062603442514,82.40597571240177,50.24681003231508,1.2431354396059484,478,21.5747012185641,188.65942930647955
SAMPLE_014,Compound_A_14,Compound_B_14,Compound_C_14,c1ccccc1,CC(=O)O,c1ccccc1,47.90050504432496,39.09210792338034,37.14419075615032,74.66965122645976,83.97884382870075,1.612191366708568,310,19.39667088678825,195.65873677480516
SAMPLE_015,Compound_A_15,Compound_B_15,Compound_C_15,c1ccccc1C,CCO,CC(=O)O,22.112483925486316,44.02847884047199,42.22921582732005,122.00687431276025,66.45331333761436,1.359726273886083,417,10.77991060279237,191.63997336701507
SAMPLE_016,Compound_A_16,Compound_B_16,Compound_C_16,c1ccccc1,CCN,CC(=O)O,26.267561528460806,40.315050271489454,43.015845593257154,103.1169764066515,44.66118932787927,1.996538923885765,131,1.5167940913627,121.13213249861957
SAMPLE_017,Compound_A_17,Compound_B_17,Compound_C_17,c1ccccc1C,c1ccccc1,c1ccccc1C,40.13430550472152,37.201011250158004,44.683710556300795,124.65580677751704,59.89486187093641,1.628604680058234,257,7.17957926585376,179.30639764839702
SAMPLE_018,Compound_A_18,Compound_B_18,Compound_C_18,CCN,CC(=O)O,c1ccccc1C,30.759403438884917,23.855010597017305,42.326349708298935,137.40963762796142,49.820908876854844,1.5604706918651885,384,13.45758693719994,176.68240978026057
SAMPLE_019,Compound_A_19,Compound_B_19,Compound_C_19,CCO,CCO,CCO,27.624909472092163,44.33612530208009,40.43118281290727,100.24428257264796,86.02150942559248,1.6678579085761265,404,15.569999056001388,97.86507098648835
SAMPLE_020,Compound_A_20,Compound_B_20,Compound_C_20,c1ccccc1C,c1ccccc1,CCO,28.85871765256816,44.61918427231866,27.1251941387741,147.46015426200913,30.452061788044485,0.7146919783227044,385,6.931416764963653,174.33732112260162
SAMPLE_021,Compound_A_21,Compound_B_21,Compound_C_21,c1ccccc1,c1ccccc1,c1ccccc1,29.676522927158015,38.77819010304718,32.00668678616074,99.05142044044509,43.51996786275169,0.806816889754195,243,4.2051897036749555,55.55114520732389
SAMPLE_022,Compound_A_22,Compound_B_22,Compound_C_22,CCN,c1ccccc1C,CCO,45.46009384774023,44.61280531313804,34.33144672640683,102.76376181089674,51.92140918044346,1.5710961233354213,118,20.20339544638388,139.44048177230798
SAMPLE_023,Compound_A_23,Compound_B_23,Compound_C_23,c1ccccc1C,CCN,CC(=O)O,24.098639943260864,39.544543155733635,22.486739650800626,92.12602911048934,59.26858804852428,1.240972230696294,117,23.641250156181698,84.50132559315546
