Compound_Name,SMILES,logS
Compound_001,CC(=O)Oc1ccccc1C(=O)O,-2.987
Compound_002,CC(C)Cc1ccc(cc1)C(C)C(=O)O,-2.948
Compound_003,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-1.891
Compound_004,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-3.395
Compound_005,CCO,-0.258
Compound_006,CC(C)O,-0.723
Compound_007,CC(C)(C)O,-0.629
Compound_008,c1ccccc1,-1.302
Compound_009,CC1=CC=CC=C1,-1.299
Compound_010,CC1=CC2=C(C=C1C=O)C(=O)C3=C(O2)C=CC(=C3)O,-3.961
Compound_011,CCC1=CC(=C(C=C1)O)C=O,-2.671
Compound_012,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,-12.756
Compound_013,C1CC1C1CC1C1CC1,-1.698
Compound_014,CC(=O)Oc1ccccc1C(=O)O,-3.109
Compound_015,CC(C)Cc1ccc(cc1)C(C)C(=O)O,-2.922
Compound_016,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-2.284
Compound_017,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-2.657
Compound_018,CCO,-0.436
Compound_019,CC(C)O,-1.135
Compound_020,CC(C)(C)O,-0.731
Compound_021,c1ccccc1,-1.007
Compound_022,CC1=CC=CC=C1,-2.325
Compound_023,CC1=CC2=C(C=C1C=O)C(=O)C3=C(O2)C=CC(=C3)O,-3.716
Compound_024,CCC1=CC(=C(C=C1)O)C=O,-2.105
Compound_025,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,-12.772
Compound_026,C1CC1C1CC1C1CC1,-2.399
Compound_027,CC(=O)Oc1ccccc1C(=O)O,-2.186
Compound_028,CC(C)Cc1ccc(cc1)C(C)C(=O)O,-2.77
Compound_029,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-1.719
Compound_030,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-3.04
Compound_031,CCO,-0.674
Compound_032,CC(C)O,-0.588
Compound_033,CC(C)(C)O,-1.098
Compound_034,c1ccccc1,-1.483
Compound_035,CC1=CC=CC=C1,-1.313
Compound_036,CC1=CC2=C(C=C1C=O)C(=O)C3=C(O2)C=CC(=C3)O,-3.481
Compound_037,CCC1=CC(=C(C=C1)O)C=O,-1.998
Compound_038,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,-12.973
Compound_039,C1CC1C1CC1C1CC1,-1.993
Compound_040,CC(=O)Oc1ccccc1C(=O)O,-1.918
Compound_041,CC(C)Cc1ccc(cc1)C(C)C(=O)O,-3.359
